=== Log de partida iniciado: 25/6/2026 14:07:51 ===
[14:07:52] EVENTO: Aldric (Luchador) - HP actual: 120/120.
[14:07:52] EVENTO: Lyra (Arquero) - HP actual: 90/90.
[14:07:52] EVENTO: Aldric (Luchador) - HP actual: 108/120.
[14:07:52] DECESO: DummyMago (Hechicero) ha muerto en combate.
[14:07:52] DECESO: DummyMago (Hechicero) ha muerto en combate.
[14:08:13] EVENTO: Malakar (Hechicero) - HP actual: 31/70.
[14:08:34] EVENTO: Aldric (Luchador) - HP actual: 99/120.
[14:08:34] EVENTO: Aldric (Luchador) - HP actual: 78/120.
[14:09:11] EVENTO: Gruk (Barbaro) - HP actual: 96/150.
[14:09:11] EVENTO: Aldric (Luchador) - HP actual: 69/120.
[14:09:11] EVENTO: Aldric (Luchador) - HP actual: 48/120.
[14:09:27] EVENTO: Aldric (Luchador) - HP actual: 39/120.
[14:09:27] EVENTO: Aldric (Luchador) - HP actual: 18/120.
[14:09:45] DECESO: Malakar (Hechicero) ha muerto en combate.
[14:09:45] DECESO: Malakar (Hechicero) ha muerto en combate.
[14:10:20] EVENTO: Gruk (Barbaro) - HP actual: 42/150.
[14:10:20] DECESO: Aldric (Luchador) ha muerto en combate.
[14:10:20] DECESO: Aldric (Luchador) ha muerto en combate.
[14:10:43] EVENTO: Gruk (Barbaro) - HP actual: 3/150.
[14:10:43] EVENTO: Lyra (Arquero) - HP actual: 69/90.
[14:10:48] DECESO: Gruk (Barbaro) ha muerto en combate.
[14:10:48] DECESO: Gruk (Barbaro) ha muerto en combate.
